Country,Year,Medal,Participation_own_country,Soviet_past,AthletesNumber,Population,GDP_per_capita,Urban Population(%)
Afghanistan,2004,0,0,0,5,23553551.0,221.8305307203071,22.5
Afghanistan,2008,1,0,0,4,26427199.0,382.5338038154138,23.32
Afghanistan,2012,1,0,0,6,30466479.0,653.417479124437,24.16
Afghanistan,2016,0,0,0,3,34636207.0,523.0530121017523,25.02
Afghanistan,2020,0,0,0,5,38972230.0,512.0550982286875,26.026
Albania,2000,0,0,0,4,3089027.0,1126.6833401071665,41.741
Albania,2004,0,0,0,7,3026939.0,2373.5812917005464,45.651
Albania,2008,0,0,0,11,2947314.0,4370.539716394486,49.991
Albania,2012,0,0,0,9,2900401.0,4247.631343159445,54.33
Albania,2016,0,0,0,6,2876101.0,4124.055389862734,58.421
Albania,2020,0,0,0,9,2837849.0,5343.0377039955965,62.112
Algeria,2000,5,0,0,47,30774621.0,1780.376062806044,59.919
Algeria,2004,0,0,0,61,32510186.0,2624.79523151946,63.061
Algeria,2008,2,0,0,56,34569592.0,4946.56401720758,66.097
Algeria,2012,1,0,0,38,37260563.0,5610.73328198232,68.915
Algeria,2016,2,0,0,64,40339329.0,3967.2006474380873,71.459
Algeria,2020,0,0,0,41,43451666.0,3354.153163715932,73.733
American Samoa,2000,0,0,0,4,58230.0,,88.587
American Samoa,2004,0,0,0,3,57626.0,8832.818519418319,88.198
American Samoa,2008,0,0,0,4,55891.0,10019.502245442021,87.799
American Samoa,2012,0,0,0,4,53691.0,11920.061090313087,87.42
American Samoa,2016,0,0,0,4,50448.0,13300.82461148113,87.198
American Samoa,2020,0,0,0,6,46189.0,15609.77721968434,87.153
Andorra,2000,0,0,0,5,66097.0,21620.465101937305,92.395
Andorra,2004,0,0,0,6,76933.0,37630.76426395539,90.751
Andorra,2008,0,0,0,5,76055.0,53721.388506717245,89.004
Andorra,2012,0,0,0,6,71013.0,44902.38771225001,88.631
Andorra,2016,0,0,0,4,72540.0,39931.2362644858,88.248
Andorra,2020,0,0,0,2,77700.0,37207.238871190864,87.916
Angola,2000,0,0,0,30,16394062.0,556.8842435496834,50.087
Angola,2004,0,0,0,30,18771125.0,1254.69612612243,54.827
Angola,2008,0,0,0,32,21691522.0,4081.717497014041,58.282
Angola,2012,0,0,0,33,25188292.0,5083.826851101655,61.268
Angola,2016,0,0,0,26,29154746.0,1809.7093771945501,64.149
Angola,2020,0,0,0,20,33428486.0,1450.9051121848893,66.825
Antigua and Barbuda,2000,0,0,0,3,75055.0,11010.197460134168,32.127
Antigua and Barbuda,2004,0,0,0,5,78941.0,11650.848477085798,29.837
Antigua and Barbuda,2008,0,0,0,5,83251.0,16457.10406325894,27.405
Antigua and Barbuda,2012,0,0,0,4,87674.0,15136.841109193261,25.526
Antigua and Barbuda,2016,0,0,0,8,90564.0,16449.059147040658,24.846
Antigua and Barbuda,2020,0,0,0,6,92664.0,15224.858589056159,24.433
Argentina,2000,4,0,0,143,37070774.0,7666.5178342378285,89.142
Argentina,2004,6,0,0,152,38668796.0,4258.16026060876,89.86
Argentina,2008,6,0,0,132,40273769.0,8977.506850933643,90.53
Argentina,2012,4,0,0,137,41733271.0,13082.664325571988,91.121
Argentina,2016,4,0,0,215,43590368.0,12790.26413961348,91.627
Argentina,2020,2,0,0,189,45376763.0,8500.837938505332,92.111
Armenia,2000,1,0,1,25,3168523.0,603.2980252471135,64.666
Armenia,2004,0,0,1,18,3065745.0,1166.6382039002463,64.038
Armenia,2008,6,0,1,25,2983421.0,3908.9490601143116,63.64
Armenia,2012,3,0,1,24,2914421.0,3643.7154010856357,63.24
Armenia,2016,4,0,1,31,2865835.0,3679.952347403776,63.082
Armenia,2020,4,0,1,17,2805608.0,4505.867741756939,63.313
Aruba,2000,0,0,0,5,89101.0,21026.167090902236,46.717
Aruba,2004,0,0,0,4,93540.0,24105.524120771646,45.24
Aruba,2008,0,0,0,2,97996.0,29011.639056753236,43.783
Aruba,2012,0,0,0,4,102112.0,25611.1757666902,42.957
Aruba,2016,0,0,0,7,104874.0,28449.712946304422,43.192
Aruba,2020,0,0,0,3,106585.0,24008.127821747712,43.697
Australia,2000,58,1,0,617,19028802.0,21870.41596695935,84.235
Australia,2004,50,0,0,470,19932722.0,30836.730682468507,84.463
Australia,2008,46,0,0,432,21249199.0,49701.28178433361,84.943
Australia,2012,35,0,0,405,22733465.0,68078.0442283167,85.402
Australia,2016,29,0,0,420,24190907.0,49918.79393272522,85.8
Australia,2020,44,0,0,484,25649248.0,51868.247556782175,86.241
Austria,2000,3,0,0,92,8011566.0,24625.600722743344,60.213
Austria,2004,7,0,0,74,8171966.0,36889.23351351939,59.094
Austria,2008,3,0,0,70,8321496.0,51919.983575422615,57.966
Austria,2012,0,0,0,70,8429991.0,48564.917335087426,57.147
Austria,2016,1,0,0,71,8736668.0,45307.58786204294,57.905
Austria,2020,7,0,0,74,8916864.0,48789.497849887244,58.748
Azerbaijan,2000,3,0,1,31,8048600.0,655.0972495799169,51.386
Azerbaijan,2004,5,0,1,36,8306500.0,1045.0136328106,52.189
Azerbaijan,2008,7,0,1,44,8763400.0,5574.468104325753,52.99
Azerbaijan,2012,10,0,1,52,9295784.0,7495.865276580997,53.883
Azerbaijan,2016,18,0,1,56,9757812.0,3880.6852276837985,55.021
Azerbaijan,2020,7,0,1,44,10093121.0,4229.910649045028,56.397
Bahamas,2000,3,0,0,25,325014.0,24849.606478490157,82.007
Bahamas,2004,2,0,0,22,343089.0,26393.413953813735,82.176
Bahamas,2008,2,0,0,25,362795.0,29013.630287076725,82.343
Bahamas,2012,1,0,0,21,382061.0,28059.393657033823,82.532
Bahamas,2016,2,0,0,29,395976.0,29675.535891064104,82.832
Bahamas,2020,2,0,0,16,406471.0,23998.268019120675,83.245
Bahrain,2000,0,0,0,4,711442.0,12738.774118157502,88.372
Bahrain,2004,0,0,0,10,833451.0,15777.963640895625,88.399
Bahrain,2008,0,0,0,14,1110343.0,23155.82144915499,88.53
Bahrain,2012,1,0,0,12,1224939.0,25102.72634852699,88.762
Bahrain,2016,2,0,0,33,1409661.0,22867.181119613368,89.09
Bahrain,2020,1,0,0,30,1477469.0,23433.18723625741,89.506
Bangladesh,2000,0,0,0,5,129193327.0,413.1001852644022,23.59
Bangladesh,2004,0,0,0,4,138789725.0,469.1164583692525,26.114
Bangladesh,2008,0,0,0,5,145421318.0,630.1089792029234,28.968
Bangladesh,2012,0,0,0,5,152090649.0,876.8180104414243,31.993
Bangladesh,2016,0,0,0,7,159784568.0,1659.9624960567344,35.083
Bangladesh,2020,0,0,0,6,167420951.0,2233.305901297622,38.177
Barbados,2000,1,0,0,18,264657.0,11560.2459031879,33.827
Barbados,2004,0,0,0,10,268505.0,12828.438948995363,33.037
Barbados,2008,0,0,0,8,272635.0,17551.855044289983,32.256
Barbados,2012,0,0,0,6,276197.0,16704.92438368266,31.553
Barbados,2016,0,0,0,11,278649.0,17381.365086542566,31.193
Barbados,2020,0,0,0,8,280693.0,16882.50152301625,31.191
Belarus,2000,17,0,1,139,9979610.0,1276.2803812126826,69.973
Belarus,2004,13,0,1,151,9730146.0,2378.3370047012863,71.887
Belarus,2008,18,0,1,177,9527985.0,6376.175691620631,73.726
Belarus,2012,12,0,1,160,9446836.0,6953.215916831011,75.697
Belarus,2016,9,0,1,120,9469379.0,5039.775609494456,77.661
Belarus,2020,7,0,1,101,9379952.0,6542.864539843605,79.483
Belgium,2000,5,0,0,68,10251250.0,23098.88650774013,97.129
Belgium,2004,3,0,0,50,10421137.0,35429.40779333445,97.35
Belgium,2008,2,0,0,94,10709973.0,48303.397956285975,97.555
Belgium,2012,3,0,0,111,11106932.0,44670.560684510085,97.744
Belgium,2016,6,0,0,104,11331422.0,42012.62271910154,97.919
Belgium,2020,7,0,0,130,11538604.0,45609.00349361101,98.079
Belize,2000,0,0,0,2,240406.0,4720.1682180174785,45.398
Belize,2004,0,0,0,2,272128.0,5123.596214281624,45.33
Belize,2008,0,0,0,4,305671.0,5665.966231885589,45.262
Belize,2012,0,0,0,3,337059.0,5635.52152550236,45.246
Belize,2016,0,0,0,3,367313.0,6099.957101914988,45.495
Belize,2020,0,0,0,3,394921.0,5185.158069760205,46.025
Benin,2000,0,0,0,4,6998023.0,502.99798106967205,38.333
Benin,2004,0,0,0,4,7894554.0,784.1190750609294,40.039
Benin,2008,0,0,0,5,8906469.0,1098.946678671385,42.069
Benin,2012,0,0,0,5,10014078.0,1112.569536196852,44.125
Benin,2016,0,0,0,6,11260085.0,1049.8203034992275,46.229
Benin,2020,0,0,0,7,12643123.0,1240.7331553698164,48.415
Bermuda,2000,0,0,0,6,61833.0,56284.16864780942,100.0
Bermuda,2004,0,0,0,10,63740.0,70359.31910887982,100.0
Bermuda,2008,0,0,0,6,65273.0,106935.48634197908,100.0
Bermuda,2012,0,0,0,8,64798.0,98431.8651810241,100.0
Bermuda,2016,0,0,0,8,64554.0,106885.87848932676,100.0
Bermuda,2020,1,0,0,2,63893.0,107791.88643513374,100.0
Bhutan,2000,0,0,0,2,587207.0,722.8267561647732,25.418
Bhutan,2004,0,0,0,2,649991.0,1050.1331072399632,29.835
Bhutan,2008,0,0,0,2,689737.0,1780.1122318353953,33.236
Bhutan,2012,0,0,0,2,721145.0,2470.0721513070325,36.371
Bhutan,2016,0,0,0,2,749761.0,2879.546563925891,39.428
Bhutan,2020,0,0,0,4,772506.0,3181.3397472170313,42.316
Bolivia,2000,0,0,0,5,8592656.0,977.3294176758711,61.787
Bolivia,2004,0,0,0,7,9216279.0,951.9516229393772,63.711
Bolivia,2008,0,0,0,7,9880593.0,1687.5784971504847,65.535
Bolivia,2012,0,0,0,5,10569697.0,2562.4667842332947,67.315
Bolivia,2016,0,0,0,12,11263015.0,3013.5027072166645,68.738
Bolivia,2020,0,0,0,5,11936162.0,3068.812555164558,70.123
Bosnia and Herzegovina,2000,0,0,0,9,4179350.0,1332.2102166154737,42.384
Bosnia and Herzegovina,2004,0,0,0,9,4142860.0,2451.5773012843783,43.648
Bosnia and Herzegovina,2008,0,0,0,5,3943392.0,4846.79094117894,44.92
Bosnia and Herzegovina,2012,0,0,0,6,3674374.0,4688.34582317709,46.199
Bosnia and Herzegovina,2016,0,0,0,11,3480986.0,4917.263765963064,47.518
Bosnia and Herzegovina,2020,0,0,0,7,3318407.0,6095.104236584873,49.02
Botswana,2000,0,0,0,7,1726985.0,3351.696516853099,53.219
Botswana,2004,0,0,0,11,1859085.0,4818.213102970225,55.488
Botswana,2008,0,0,0,11,2007320.0,5345.848751773758,59.444
Botswana,2012,1,0,0,4,2175425.0,6392.987347368399,64.768
Botswana,2016,0,0,0,12,2352416.0,6411.5516655651045,67.933
Botswana,2020,1,0,0,14,2546402.0,5875.070605967165,70.877
Brazil,2000,12,0,0,198,175873720.0,3726.8116690971624,81.192
Brazil,2004,10,0,0,243,184722043.0,3623.224461664854,82.521
Brazil,2008,16,0,0,268,192672317.0,8801.757875533567,83.749
Brazil,2012,17,0,0,248,199977707.0,12327.513101305685,84.923
Brazil,2016,19,1,0,462,206859578.0,8680.736468738807,86.042
Brazil,2020,20,0,0,317,213196304.0,6923.699911768218,87.073
British Virgin Islands,2000,0,0,0,1,20104.0,,41.774
British Virgin Islands,2004,0,0,0,1,22715.0,,42.909
British Virgin Islands,2008,0,0,0,2,26115.0,,44.152
British Virgin Islands,2012,0,0,0,2,28421.0,,45.502
British Virgin Islands,2016,0,0,0,4,29739.0,,46.957
British Virgin Islands,2020,0,0,0,3,30910.0,,48.515
Brunei,2000,0,0,0,2,333926.0,17971.892287759205,71.164
Brunei,2004,0,0,0,1,360461.0,21839.26361911211,72.794
Brunei,2012,0,0,0,3,406634.0,46844.197339064616,75.656
Brunei,2016,0,0,0,3,425994.0,26762.035043662116,76.99
Brunei,2020,0,0,0,2,441725.0,27179.352886939836,78.25
Bulgaria,2000,13,0,0,91,8170172.0,1621.2621073899177,68.899
Bulgaria,2004,12,0,0,95,7716860.0,3389.687433602735,70.233
Bulgaria,2008,5,0,0,70,7492561.0,7271.303388580246,71.622
Bulgaria,2012,2,0,0,63,7305888.0,7430.737380424201,72.975
Bulgaria,2016,3,0,0,51,7127822.0,7570.931655117089,74.329
Bulgaria,2020,6,0,0,42,6934015.0,10148.342395443478,75.686
Burkina Faso,2000,0,0,0,4,11882888.0,249.80207569048787,17.844
Burkina Faso,2004,0,0,0,5,13445977.0,405.4512764382677,20.757
Burkina Faso,2008,0,0,0,6,15197915.0,621.8902717981164,23.534
Burkina Faso,2012,0,0,0,5,17113732.0,733.9728795898113,25.767
Burkina Faso,2016,0,0,0,5,19275498.0,665.7863285989654,28.134
Burkina Faso,2020,1,0,0,7,21522626.0,823.5524108809677,30.607
Burundi,2000,0,0,0,6,6307659.0,138.00461722536633,8.246
Burundi,2004,0,0,0,7,7120496.0,128.5384225194565,9.139
Burundi,2008,0,0,0,3,8278109.0,194.71063464444356,10.118
Burundi,2012,0,0,0,6,9795479.0,238.2059452587801,11.194
Burundi,2016,1,0,0,9,10903327.0,242.53952729297856,12.388
Burundi,2020,0,0,0,6,12220227.0,216.8274174808684,13.708
Cambodia,2000,0,0,0,4,12118841.0,301.51659852609254,18.586
Cambodia,2004,0,0,0,4,13016371.0,410.0861329178725,19.055
Cambodia,2008,0,0,0,4,13943888.0,742.3979723219162,19.571
Cambodia,2012,0,0,0,6,14786640.0,950.4825446138339,21.037
Cambodia,2016,0,0,0,6,15624584.0,1281.1059710541222,22.582
Cambodia,2020,0,0,0,3,16396860.0,1577.9117399164475,24.232
Cameroon,2000,1,0,0,34,15091594.0,700.1632362348935,45.542
Cameroon,2004,1,0,0,17,16809407.0,1119.9808616474038,47.94
Cameroon,2008,1,0,0,32,18777081.0,1476.009078989061,50.35
Cameroon,2012,0,0,0,32,21032684.0,1433.7239284002983,52.769
Cameroon,2016,0,0,0,22,23711630.0,1426.065481132107,55.179
Cameroon,2020,0,0,0,12,26491087.0,1539.1305451924452,57.56
Canada,2000,14,0,0,294,30685730.0,24271.002056382138,79.478
Canada,2004,12,0,0,262,31940655.0,32143.681407856227,80.045
Canada,2008,19,0,0,332,33247118.0,46710.50557590134,80.578
Canada,2012,18,0,0,273,34714222.0,52669.08996323179,81.137
Canada,2016,22,0,0,310,36109487.0,42315.603705680725,81.3
Canada,2020,24,0,0,384,38007166.0,43562.435831184834,81.562
Cape Verde,2000,0,0,0,2,458251.0,1176.7072578704922,53.435
Cape Verde,2004,0,0,0,3,486583.0,1900.8884647365342,56.846
Cape Verde,2008,0,0,0,2,510336.0,3839.863635557319,60.194
Cape Verde,2012,0,0,0,3,533864.0,3583.4617251099717,62.821
Cape Verde,2016,0,0,0,5,558394.0,3312.6967445848627,64.784
Cape Verde,2020,0,0,0,6,582640.0,3126.3998587225906,66.652
Cayman Islands,2000,0,0,0,3,39658.0,,100.0
Cayman Islands,2004,0,0,0,5,45286.0,,100.0
Cayman Islands,2008,0,0,0,4,51123.0,89704.22361356122,100.0
Cayman Islands,2012,0,0,0,4,56860.0,75466.13654622054,100.0
Cayman Islands,2016,0,0,0,5,62255.0,78858.28025522368,100.0
Cayman Islands,2020,0,0,0,5,67311.0,83897.50544338903,100.0
Central African Republic,2000,0,0,0,3,3759170.0,243.87758007529825,37.639
Central African Republic,2004,0,0,0,4,4115138.0,309.1902427874181,37.966
Central African Republic,2008,0,0,0,3,4467233.0,446.2287703592761,38.506
Central African Republic,2012,0,0,0,6,4773306.0,525.8675040377277,39.388
Central African Republic,2016,0,0,0,6,4904177.0,372.1354560930305,40.618
Central African Republic,2020,0,0,0,2,5343020.0,435.4692478000213,42.198
Chad,2000,0,0,0,2,8259137.0,168.11765824777575,21.637
Chad,2004,0,0,0,1,9613503.0,460.06701832057684,21.768
Chad,2008,0,0,0,2,11098664.0,936.4941370749759,21.901
Chad,2012,0,0,0,2,12754906.0,969.6161427715891,22.142
Chad,2016,0,0,0,2,14592585.0,691.9800774277279,22.677
Chad,2020,0,0,0,3,16644701.0,643.7722156940097,23.52
Chile,2000,1,0,0,50,15351799.0,5102.96876066704,86.073
Chile,2004,3,0,0,22,16017966.0,6185.303784610961,86.725
Chile,2008,1,0,0,26,16661462.0,10797.047370511664,86.959
Chile,2012,0,0,0,35,17341771.0,15397.780459815149,87.189
Chile,2016,0,0,0,42,18083879.0,13788.240015760113,87.422
Chile,2020,0,0,0,55,19300315.0,13173.78479417227,87.727
China,2000,58,0,0,266,1262645000.0,959.3604313404402,35.877
China,2004,63,0,0,372,1296075000.0,1508.6679156357773,41.144
China,2008,100,1,0,583,1324655000.0,3468.327063085905,46.539
China,2012,88,0,0,365,1354190000.0,6300.582179529039,51.765
China,2016,70,0,0,390,1387790000.0,8094.3901673080945,56.736
China,2020,85,0,0,415,1411100000.0,10408.719554107434,61.428
Colombia,2000,1,0,0,44,39215135.0,2546.8502135980866,73.957
Colombia,2004,2,0,0,53,41648268.0,2811.4594505165255,75.62
Colombia,2008,2,0,0,67,43815313.0,5534.689446881984,77.204
Colombia,2012,8,0,0,101,45782417.0,8096.8015097751395,78.701
Colombia,2016,8,0,0,143,47625955.0,5936.261021668291,80.108
Colombia,2020,5,0,0,68,50930662.0,5304.289128866419,81.425
Comoros,2000,0,0,0,2,536758.0,654.18043075023,28.08
Comoros,2004,0,0,0,3,581154.0,1090.4271686947247,27.903
Comoros,2008,0,0,0,3,629470.0,1454.650909116579,27.886
Comoros,2012,0,0,0,3,684553.0,1483.951558529946,28.123
Comoros,2016,0,0,0,4,746232.0,1357.266228888268,28.619
Comoros,2020,0,0,0,3,806166.0,1519.5867798163404,29.38
Congo,2000,0,0,0,5,3134030.0,1029.960688818936,58.695
Congo,2004,0,0,0,5,3543012.0,1314.4112806073504,60.533
Congo,2008,0,0,0,5,4089602.0,2848.6531631791063,62.346
Congo,2012,0,0,0,7,4713257.0,3753.860928081028,64.169
Congo,2016,0,0,0,10,5186824.0,2107.503023972203,66.001
Congo,2020,0,0,0,3,5702174.0,2011.2694790099006,67.829
"Congo, Dem Rep",2000,0,0,0,2,48616317.0,392.62633378413057,35.122
"Congo, Dem Rep",2004,0,0,0,4,54815607.0,187.85678102995374,37.0
"Congo, Dem Rep",2008,0,0,0,5,62249724.0,317.8892100811306,38.976
"Congo, Dem Rep",2012,0,0,0,4,70997870.0,412.77626054499524,41.082
"Congo, Dem Rep",2016,0,0,0,4,81430977.0,456.0279505836237,43.307
"Congo, Dem Rep",2020,0,0,0,6,92853164.0,524.6666862114952,45.638
Cook Islands,2000,0,0,0,2,,,
Cook Islands,2004,0,0,0,3,,,
Cook Islands,2008,0,0,0,4,,,
Cook Islands,2012,0,0,0,8,,,
Cook Islands,2016,0,0,0,9,,,
Cook Islands,2020,0,0,0,6,,,
Costa Rica,2000,2,0,0,7,3979193.0,3773.033793196786,59.052
Costa Rica,2004,0,0,0,20,4252800.0,4376.080428472606,64.388
Costa Rica,2008,0,0,0,8,4501921.0,6841.911460007894,69.39
Costa Rica,2012,0,0,0,11,4736593.0,9971.651655765843,73.946
Costa Rica,2016,0,0,0,11,4945205.0,11899.813983374785,77.735
Costa Rica,2020,0,0,0,13,5123105.0,12179.256673519516,80.771
Cote d'Ivoire,2000,0,0,0,14,16799670.0,986.7773528395677,43.155
Cote d'Ivoire,2004,0,0,0,5,18544903.0,1267.7648229510503,44.817
Cote d'Ivoire,2008,0,0,0,21,20244449.0,1683.3375045376736,46.491
Cote d'Ivoire,2012,0,0,0,9,22010712.0,1649.3016148365032,48.172
Cote d'Ivoire,2016,2,0,0,12,24213622.0,1999.1953715938325,49.881
Cote d'Ivoire,2020,1,0,0,30,26811790.0,2349.069882004178,51.706
Croatia,2000,2,0,0,88,4468302.0,4952.3777529893005,53.428
Croatia,2004,5,0,0,81,4304600.0,9723.381023856316,54.147
Croatia,2008,5,0,0,99,4309705.0,15898.79989608762,54.819
Croatia,2012,6,0,0,107,4267558.0,13439.66455551894,55.506
Croatia,2016,10,0,0,85,4174349.0,12579.922703148084,56.403
Croatia,2020,8,0,0,58,4047680.0,14269.908854933172,57.553
Cuba,2000,29,0,0,229,11105791.0,2752.2037826931914,75.323
Cuba,2004,27,0,0,151,11225294.0,3403.29616311163,76.041
Cuba,2008,24,0,0,158,11276609.0,4992.82449445836,76.413
Cuba,2012,14,0,0,109,11309290.0,6467.337914228037,76.781
Cuba,2016,11,0,0,117,11342012.0,8055.925867800175,76.93
Cuba,2020,15,0,0,69,11300698.0,9499.57250428248,77.194
Cyprus,2000,0,0,0,22,948237.0,10530.958490687086,68.648
Cyprus,2004,0,0,0,20,1018684.0,17002.870860836138,68.41
Cyprus,2008,0,0,0,17,1092390.0,25489.705132148043,67.839
Cyprus,2012,1,0,0,13,1156556.0,21596.268512972223,67.261
Cyprus,2016,0,0,0,15,1197881.0,17491.683638093935,66.881
