Country_df_dict,Country_df_iban
"Palestine, Occupied Territories","Palestine, State of"
Brunei,Brunei Darussalam
Iran,Iran (Islamic Republic of)
Kiribati,Kiribati
Marshall Islands,Marshall Islands (the)
Montenegro,Montenegro
South Sudan,South Sudan
Tanzania,"Tanzania, United Republic of"
Tuvalu,Tuvalu
Vietnam,Viet Nam
British Virgin Islands,Virgin Islands (British)
Virgin Islands,Virgin Islands (U.S.)
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
American Samoa,American Samoa
Andorra,Andorra
Angola,Angola
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas (the)
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Bermuda,Bermuda
Benin,Benin
Bhutan,Bhutan
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cayman Islands,Cayman Islands (the)
Central African Republic,Central African Republic (the)
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros (the)
Congo,Congo (the)
Cook Islands,Cook Islands (the)
Costa Rica,Costa Rica
Cote d'Ivoire,C̫te d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic (the)
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
Gabon,Gabon
Gambia,Gambia (the)
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guam,Guam
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Monaco,Monaco
Mongolia,Mongolia
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands (the)
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger (the)
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines (the)
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Romania,Romania
Rwanda,Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan (the)
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Tajikistan,Tajikistan
Thailand,Thailand
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates (the)
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
Bolivia,Bolivia (Plurinational State of)
Cape Verde,Cabo Verde
"Congo, Dem Rep",Congo (the Democratic Republic of the)
Czech Republic,Czechia
East Timor (Timor-Leste),Timor-Leste
"Korea, North",Korea (the Democratic People's Republic of)
"Korea, South",Korea (the Republic of)
Laos,Lao People's Democratic Republic (the)
Macedonia,Republic of North Macedonia
Micronesia,Micronesia (Federated States of)
Moldova,Moldova (the Republic of)
Russia,Russian Federation (the)
Swaziland,Eswatini
Syria,Syrian Arab Republic
United Kingdom,United Kingdom of Great Britain and Northern Ireland (the)
United States,United States of America (the)
Venezuela,Venezuela (Bolivarian Republic of)
